count,hate_speech,offensive_language,neither,class,tweet,tweet_clean,tweet_lemma,tweet_nouns,tweet_sym,tweet_verbs,tweet_nv,num_tokens
3,1,2,0,1,""" bitch who do you love """,bitch who do you love,bitch who do -PRON- love,bitch,,love,bitch love,5
3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck no that bitch dont even suck dick             the kermit videos bout to fuck ig up,fuck no that bitch do not even suck dick              the kermit video bout to fuck ig up,bitch dick kermit video bout,,suck fuck,bitch dick kermit video bout suck fuck,18
3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lames crying over hoes thats tears of a clown,lame cry over hoe that s tear of a clown,lame hoe tear clown,,cry s,lame hoe tear clown cry s,10
3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",all i wanna do is get money and fuck model bitches     russell simmons,all i wanna do be get money and fuck model bitch      russell simmons,wanna money fuck model bitch russell simmons,,,wanna money fuck model bitch russell simmons,14
3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",mentionhere  females think dating a pussy is cute now  urlhere  how does doing this stuff make him a pussy,mentionhere   female think date a pussy be cute now   urlhere   how do do this stuff make -PRON- a pussy,mentionhere female pussy stuff pussy,,think date urlhere do make,mentionhere female pussy stuff pussy think date urlhere do make,22
3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",mentionhere  u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b  gt  chance,mentionhere   u ever kill a ant on the sidewalk and think damn what if that nigga be on -PRON- way to get some pussy no bs must b   gt   chance,mentionhere u ant sidewalk nigga way pussy gt chance,,kill think must b,mentionhere u ant sidewalk nigga way pussy gt chance kill think must b,33
3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",mentionhere  mentionhere mentionhere queer  gaywad,mentionhere   mentionhere mentionhere queer   gaywad,mentionhere mentionhere mentionhere queer gaywad,,,mentionhere mentionhere mentionhere queer gaywad,7
3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",mentionhere  mentionhere faggot read my tweets after dat k  it wasn t even funny lol,mentionhere   mentionhere faggot read -PRON- tweet after dat k   -PRON- wasn t even funny lol,mentionhere mentionhere faggot tweet dat k wasn t lol,,read,mentionhere mentionhere faggot tweet dat k wasn t lol read,17
3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",mentionhere  mentionhere alsarabsss  hes a beaner smh you can tell hes a mexican,mentionhere   mentionhere alsarabsss   -PRON- s a beaner smh -PRON- can tell -PRON- s a mexican,mentionhere mentionhere alsarabsss beaner smh mexican,,s can tell s,mentionhere mentionhere alsarabsss beaner smh mexican s can tell s,17
3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",mentionhere   mentionhere  mentionhere that nigga was eating that hoe lol  hell yea lol john paul  nigga said john paul   urlhere,mentionhere    mentionhere   mentionhere that nigga be eat that hoe lol   hell yea lol john paul   nigga say john paul    urlhere,mentionhere mentionhere mentionhere nigga hoe hell yea lol john paul nigga john paul,,eat say,mentionhere mentionhere mentionhere nigga hoe hell yea lol john paul nigga john paul eat say,25
3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",mentionhere  on my way to fuck yo bitch urlhere  me as a  year old,mentionhere   on -PRON- way to fuck yo bitch urlhere   -PRON- as a   year old,mentionhere way fuck yo bitch year,,,mentionhere way fuck yo bitch year,17
3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",mentionhere  having one loyal female is wayyyyy better than having hoes   idc,mentionhere   have one loyal female be wayyyyy well than have hoe    idc,mentionhere female hoe idc,,have wayyyyy have,mentionhere female hoe idc have wayyyyy have,14
3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",mentionhere  mentionhere you re fucking gay  blacklisted hoe  holding out for hashtaghere anyway urlhere,mentionhere   mentionhere -PRON- re fuck gay   blacklist hoe   hold out for hashtaghere anyway urlhere,mentionhere mentionhere hoe,,re fuck blacklist hold,mentionhere mentionhere hoe re fuck blacklist hold,17
3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",mentionhere  i could go for a fat ass bitch on my lap  same,mentionhere   i could go for a fat ass bitch on -PRON- lap   same,mentionhere ass bitch lap,,could go,mentionhere ass bitch lap could go,15
6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",mentionhere  ya side bitch gotta know it s rules to this shit  anybody ask you my cousin from jersey thinkin bout moving  lmmfao,mentionhere   ya side bitch get to know -PRON- s rule to this shit   anybody ask -PRON- -PRON- cousin from jersey thinkin bout move   lmmfao,mentionhere ya side bitch rule shit cousin jersey thinkin bout,,get know s ask move,mentionhere ya side bitch rule shit cousin jersey thinkin bout get know s ask move,27
3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",mentionhere  white boy power bitch  black power bitch,mentionhere   white boy power bitch   black power bitch,mentionhere white boy power bitch power bitch,,,mentionhere white boy power bitch power bitch,10
3,0,3,0,1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",mentionhere  lmao fucking snake bitches    em,mentionhere   lmao fuck snake bitch     -PRON-,mentionhere lmao snake bitch,,fuck,mentionhere lmao snake bitch fuck,8
3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",mentionhere  lmfaoooo i hate black people urlhere  this is why there s black people and niggers,mentionhere   lmfaoooo i hate black people urlhere   this be why there s black people and nigger,mentionhere lmfaoooo people people nigger,,hate urlhere s,mentionhere lmfaoooo people people nigger hate urlhere s,18
